binary_accuracy	precision	recall	f1	auc	mean coef 1	mean signif 1	mean abs err 1	mean coef 2	mean signif 2	mean abs err 2	mode coef 1	mode signif 1	mode abs err 1	mode coef 2	mode signif 2	mode abs err 2	median coef 1	median signif 1	median abs err 1	median coef 2	median signif 2	median abs err 2	mean CI width 1	mean CI width 2	mean capture proportion	condition
0.95819760486135	0.95819760486135	0.95819760486135	0.95819760486135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	method
NA	NA	NA	NA	NA	0.216455163513816	0	0.878905293672624	NA	NA	NA	0.323646878583157	0	0.835062470697841	NA	NA	NA	0.257375043034148	0	0.848440629181112	NA	NA	NA	4.11630500690507	NA	0.935769954313357	p_h
NA	NA	NA	NA	NA	0.26392532149435	0	4.0530900920596	NA	NA	NA	0.392877162491455	0	3.43317997190877	NA	NA	NA	0.316215998863467	0	3.69778224752326	NA	NA	NA	21.4584078365503	NA	0.949795384052929	temp
0.990432106746658	0.432203389830508	0.386363636363636	0.408	0.905920169721	0.340545783763581	3.36188302882885e-64	0.0081959635	NA	NA	NA	0.297490788641744	2.01496106639749e-37	0.00682734239393939	NA	NA	NA	0.360810776025528	6.1624720965082e-65	0.00690721907575758	NA	NA	NA	0.0497556151666667	NA	0.975757575757576	2-mercaptoethanol (m)
0.989733909130873	0.32183908045977	0.339688041594454	0.330522765598651	0.813816977945138	0.191580641464702	1.0598016195092e-29	0.0138717151646447	NA	NA	NA	0.275613511595447	1.54182425262224e-33	0.0111109556845754	NA	NA	NA	0.245592260947007	2.22149830536269e-33	0.0120271009358752	NA	NA	NA	0.121488117608319	NA	0.977469670710572	acetate (m)
0.993754929468199	0.204986149584488	0.274074074074074	0.234548335974643	0.808542243635858	0.0366149291185961	0.0909960115607598	0.00767984492592593	NA	NA	NA	0.0606856786343931	0.00672325379664649	0.00679908922222222	NA	NA	NA	0.052366512640425	0.00382505022343683	0.00702506896296296	NA	NA	NA	0.0380944456296296	NA	0.97037037037037	adenosine triphosphate (m)
0.996263398109719	0.258064516129032	0.304347826086957	0.27930174563591	0.801174994660941	0.281041572004003	6.1038532478677e-29	0.00308136815217391	NA	NA	NA	0.512770046046398	5.87105479292844e-30	0.00246466358695652	NA	NA	NA	0.392125399146933	5.10496207990035e-30	0.00277140282608696	NA	NA	NA	0.0161312579347826	NA	0.967391304347826	adp (m)
0.959729285557152	0.508033000434216	0.371546522705621	0.429200293470286	0.806655640133808	0.148084230121216	1.24092988174262e-114	0.0479008888281994	NA	NA	NA	0.167729576013595	1.9193560060181e-95	0.0401479785646237	NA	NA	NA	0.14730843936646	8.68790820450952e-108	0.0432249454366466	NA	NA	NA	0.371343032705621	NA	0.984121943474119	ammonium acetate (m)
0.99175103112111	0.257075471698113	0.252314814814815	0.254672897196262	0.746902308801375	0.22455302441983	1.28784515407496e-32	0.301388095740741	NA	NA	NA	0.280985070712831	2.82554957756264e-33	0.269860569606481	NA	NA	NA	0.262775511820991	2.18168758071297e-35	0.281813524305556	NA	NA	NA	1.42769044025463	NA	0.956018518518518	ammonium chloride (m)
0.991531231009917	0.383098591549296	0.237762237762238	0.293419633225458	0.760866038977241	0.176373679264992	1.52633554701899e-31	0.24474626263986	NA	NA	NA	0.259218113526723	1.55079603820624e-30	0.222701605681818	NA	NA	NA	0.224927769916541	9.03771645920886e-33	0.229343343444056	NA	NA	NA	1.04411013784965	NA	0.933566433566434	ammonium citrate (m)
0.99394903223304	0.212041884816754	0.326612903225806	0.257142857142857	0.768069662690985	0.276325104207599	4.56681256036222e-28	0.593608981814516	NA	NA	NA	0.465173993618476	4.42156021588047e-29	0.489820465040323	NA	NA	NA	0.368954353789708	4.03426412054077e-29	0.539171028306452	NA	NA	NA	2.2716479383871	NA	0.971774193548387	ammonium formate (m)
0.996793504260243	0.272727272727273	0.440559440559441	0.336898395721925	0.802098943802305	0.100091689058329	0.000486224160611565	0.0225892872027972	NA	NA	NA	0.0667474802296451	0.118568962841989	0.0231111521678322	NA	NA	NA	0.0907027676848366	0.0098360708440544	0.0224845673426574	NA	NA	NA	0.102501278741259	NA	0.874125874125874	ammonium iodide (m)
0.997284787049727	0.663636363636364	0.296747967479675	0.410112359550562	0.804740826767769	0.347385392573943	7.4143910882092e-33	0.521511206300813	NA	NA	NA	0.469770340358161	5.42306275215007e-34	0.428811220691057	NA	NA	NA	0.435112710118266	1.07799942876124e-33	0.460609502073171	NA	NA	NA	2.54315921207317	NA	0.963414634146341	ammonium nitrate (m)
0.983967521301217	0.232584269662921	0.270942408376963	0.250302297460701	0.783095737495599	0.269403735108028	1.01360751950047e-63	0.474234307670157	NA	NA	NA	0.367992672232896	8.41171763690636e-61	0.415846955667539	NA	NA	NA	0.33446543505389	1.67636200603769e-66	0.436076076020942	NA	NA	NA	1.89330441907068	NA	0.952879581151832	ammonium phosphate (m)
0.808366199004332	0.432593619972261	0.484467225846536	0.457063305978898	0.762489921914233	0.32021362965706	0	0.606774025438024	NA	NA	NA	0.438256464150245	0	0.522599961080304	NA	NA	NA	0.375375745304794	0	0.558929991668997	NA	NA	NA	2.56103250005514	NA	0.972506989748369	ammonium sulfate (m)
0.995991828501978	0.247252747252747	0.206422018348624	0.225	0.756694330921397	0.217727210579905	2.11658169876157e-16	0.228697099954128	NA	NA	NA	0.357603587770023	1.97106528716432e-17	0.196218518394495	NA	NA	NA	0.290188531308844	4.78427294155879e-17	0.209749703119266	NA	NA	NA	0.950388000458716	NA	0.912844036697248	ammonium tartrate (m)
