binary_accuracy	precision	recall	f1	auc	mean coef 1	mean signif 1	mean abs err 1	mean coef 2	mean signif 2	mean abs err 2	mode coef 1	mode signif 1	mode abs err 1	mode coef 2	mode signif 2	mode abs err 2	median coef 1	median signif 1	median abs err 1	median coef 2	median signif 2	median abs err 2	mean CI width 1	mean CI width 2	mean capture proportion	condition
0.961861244582935	0.961861244582935	0.961861244582935	0.961861244582935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	method
NA	NA	NA	NA	NA	0.241010093527548	0	0.856133926191532	NA	NA	NA	0.330199986409106	0	0.815659203368793	NA	NA	NA	0.271351816138644	0	0.832780792955097	NA	NA	NA	4.52781680169776	NA	0.960157106095864	p_h
NA	NA	NA	NA	NA	0.294995202884947	0	3.92626611108526	NA	NA	NA	0.491730753203791	0	3.1162538555515	NA	NA	NA	0.372545198417883	0	3.40767998537208	NA	NA	NA	18.8563168614046	NA	0.955770559778853	temp
0.987562401939809	0.350710900473934	0.47741935483871	0.404371584699454	0.91462812008225	0.353983492048891	4.43365874526708e-63	0.00789595940322581	NA	NA	NA	0.296345556703304	5.48872023982966e-39	0.00727067841935484	NA	NA	NA	0.336857016520961	1.8341906342931e-62	0.00724750120967742	NA	NA	NA	0.0578678802419355	NA	0.987096774193548	2-mercaptoethanol (m)
0.98983026672372	0.311224489795918	0.372708757637475	0.33920296570899	0.821975904990471	0.191450990419828	2.11471327898595e-25	0.0149727826272912	NA	NA	NA	0.269912371552578	3.6785447723638e-28	0.0120446045010183	NA	NA	NA	0.23585226554929	3.93850211647603e-28	0.0132390214460285	NA	NA	NA	0.12553015586558	NA	0.973523421588595	acetate (m)
0.995307307193085	0.29585798816568	0.192307692307692	0.233100233100233	0.827988699799678	0.036962823799389	0.0947620043416242	0.00777793865384615	NA	NA	NA	0.0590390938048908	0.0085615130262952	0.00698540580769231	NA	NA	NA	0.0490443276853469	0.00364336942168189	0.00720014738461538	NA	NA	NA	0.0393254305	NA	0.969230769230769	adenosine triphosphate (m)
0.995820912552952	0.242990654205607	0.284153005464481	0.261964735516373	0.819586641185345	0.281513258463242	6.99305414849065e-29	0.00307913754098361	NA	NA	NA	0.509132542706117	6.0107054603369e-30	0.00249271442622951	NA	NA	NA	0.359902273163327	8.24685480844124e-30	0.00285711387978142	NA	NA	NA	0.0164428947540984	NA	0.967213114754098	adp (m)
0.957745674641695	0.486406117247239	0.395372928176796	0.436190476190476	0.816682166331445	0.150493913250095	1.87851330544339e-107	0.048887634640884	NA	NA	NA	0.14852957905661	1.05834159777972e-84	0.0446161650379834	NA	NA	NA	0.137009986480918	5.56151998454773e-109	0.0464707108529006	NA	NA	NA	0.45779222573895	NA	0.988604972375691	ammonium acetate (m)
0.991199669096148	0.246119733924612	0.286082474226804	0.264600715137068	0.756125823971175	0.228743375393445	4.16676535931792e-30	0.308477685154639	NA	NA	NA	0.290802762279288	9.22551014411227e-33	0.276504998634021	NA	NA	NA	0.250172032599794	8.19756895673469e-32	0.296673607139175	NA	NA	NA	1.46990130061856	NA	0.951030927835051	ammonium chloride (m)
0.990614882115503	0.329326923076923	0.265503875968992	0.293991416309013	0.770853181001265	0.196780037534735	5.57671706662106e-32	0.229824508313953	NA	NA	NA	0.285909148427131	6.99176503489309e-33	0.208125692112403	NA	NA	NA	0.228442176130105	3.6385574778577e-33	0.220063403875969	NA	NA	NA	1.10200039356589	NA	0.945736434108527	ammonium citrate (m)
0.995806649455863	0.297752808988764	0.238738738738739	0.265	0.775895631928054	0.30708131371421	9.42028267059928e-29	0.577203807432432	NA	NA	NA	0.507791701587195	5.26328173974474e-30	0.469819048108108	NA	NA	NA	0.382403504059338	9.42474626151065e-30	0.531740838333333	NA	NA	NA	2.30227328171171	NA	0.972972972972973	ammonium formate (m)
0.997375552702895	0.660550458715596	0.328767123287671	0.439024390243902	0.81106026219954	0.421777543250956	3.44498593872699e-38	0.461563380228311	NA	NA	NA	0.566425754994551	1.19477687703747e-39	0.364160348995434	NA	NA	NA	0.51086129701366	3.94044965677092e-39	0.40916016739726	NA	NA	NA	2.61516626077626	NA	0.972602739726027	ammonium nitrate (m)
0.983996805066252	0.230224321133412	0.293233082706767	0.257936507936508	0.792911569307163	0.296960256467968	1.39274286346528e-62	0.455588467834586	NA	NA	NA	0.390871680225999	3.61695283073299e-62	0.403143187473684	NA	NA	NA	0.333403791531116	1.30399919571974e-64	0.433961976	NA	NA	NA	1.99737473830075	NA	0.953383458646617	ammonium phosphate (m)
0.783746772606023	0.391502367112123	0.566166912210764	0.46290654006944	0.769165557921582	0.350922692213879	0	0.585273283231649	NA	NA	NA	0.385039337405353	0	0.557447065926857	NA	NA	NA	0.361035560335307	0	0.574323531416067	NA	NA	NA	2.99332070301673	NA	0.985354016812549	ammonium sulfate (m)
0.996405699533597	0.279661016949153	0.165	0.207547169811321	0.768753272017278	0.239975733713374	8.37104049583993e-17	0.22181089385	NA	NA	NA	0.391108388669354	6.22450079930744e-18	0.1881930288	NA	NA	NA	0.302859757071905	2.56219901568153e-17	0.2056006195	NA	NA	NA	0.95222332365	NA	0.925	ammonium tartrate (m)
0.995963543523841	0.377358490566038	0.585365853658537	0.458891013384321	0.86882419806946	0.204949301930297	1.65851421646041e-13	0.0184629085853659	NA	NA	NA	0.358801284724232	4.58064800344837e-16	0.0136347715121951	NA	NA	NA	0.288344024521971	5.4759998605128e-15	0.0154598680487805	NA	NA	NA	0.105025507073171	NA	0.980487804878049	azodicarbonamide (m)
