binary_accuracy	precision	recall	f1	auc	mean coef 1	mean signif 1	mean abs err 1	mean coef 2	mean signif 2	mean abs err 2	mode coef 1	mode signif 1	mode abs err 1	mode coef 2	mode signif 2	mode abs err 2	median coef 1	median signif 1	median abs err 1	median coef 2	median signif 2	median abs err 2	mean CI width 1	mean CI width 2	mean capture proportion	condition
0.961253716492342	0.961253716492342	0.961253716492342	0.961253716492342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	method
NA	NA	NA	NA	NA	0.216455163513816	0	0.878905293672624	NA	NA	NA	0.296956196678952	0	0.842489810787983	NA	NA	NA	0.243798360086533	0	0.857756056086401	NA	NA	NA	4.49765687515688	NA	0.950270984502374	p_h
NA	NA	NA	NA	NA	0.26392532149435	0	4.0530900920596	NA	NA	NA	0.440481736867915	0	3.32057066670562	NA	NA	NA	0.334112466260704	0	3.58392162181866	NA	NA	NA	19.1804104752419	NA	0.941728680433526	temp
0.988195288459052	0.350295857988166	0.448484848484848	0.393355481727575	0.904736453894992	0.340545783763581	3.36188302882885e-64	0.0081959635	NA	NA	NA	0.284580038944114	1.0386327027156e-39	0.00760857833333333	NA	NA	NA	0.323608724319022	2.028591365963e-63	0.0075868058030303	NA	NA	NA	0.0574422978030303	NA	0.984848484848485	2-mercaptoethanol (m)
0.989630472447053	0.309644670050761	0.317157712305026	0.313356164383562	0.813388505580007	0.191580641464702	1.0598016195092e-29	0.0138717151646447	NA	NA	NA	0.270886509899911	5.44995039567722e-33	0.0113799725996534	NA	NA	NA	0.236635310354062	5.93623140648394e-33	0.0123963655285962	NA	NA	NA	0.12792062559792	NA	0.977469670710572	acetate (m)
0.995590954345043	0.292397660818713	0.185185185185185	0.226757369614512	0.808483279246601	0.0366149291185961	0.0909960115607598	0.00767984492592593	NA	NA	NA	0.058419068557929	0.00792078022960453	0.00691666514814815	NA	NA	NA	0.0485019854614773	0.00334431043090442	0.00712345333333333	NA	NA	NA	0.0394494130740741	NA	0.97037037037037	adenosine triphosphate (m)
0.996185821599886	0.241860465116279	0.282608695652174	0.260651629072682	0.800886347333598	0.281041572004003	6.1038532478677e-29	0.00308136815217391	NA	NA	NA	0.508422061148532	4.91884096216101e-30	0.00249813211956522	NA	NA	NA	0.359340581392834	7.00067524023588e-30	0.00286055114130435	NA	NA	NA	0.0164514234782609	NA	0.967391304347826	adp (m)
0.958292894392898	0.484375	0.364242616703715	0.415805691499003	0.803203899983814	0.148084230121216	1.24092988174262e-114	0.0479008888281994	NA	NA	NA	0.146229752280539	2.3366389962248e-90	0.0439726249444268	NA	NA	NA	0.134892653286096	3.71417452357344e-116	0.0456781510098444	NA	NA	NA	0.457674150409654	NA	0.988885360431883	ammonium acetate (m)
0.991453654500084	0.247240618101545	0.259259259259259	0.253107344632768	0.746835011198617	0.22455302441983	1.28784515407496e-32	0.301388095740741	NA	NA	NA	0.284981124150251	2.45662430688502e-35	0.272598494143518	NA	NA	NA	0.245393022648108	2.13749341882662e-34	0.290758676273148	NA	NA	NA	1.47832465842593	NA	0.956018518518518	ammonium chloride (m)
0.990742536493283	0.327751196172249	0.23951048951049	0.276767676767677	0.759451128061996	0.176373679264992	1.52633554701899e-31	0.24474626263986	NA	NA	NA	0.255551351080949	2.84212542126538e-32	0.225171806066434	NA	NA	NA	0.204556599023392	1.2146338029202e-32	0.235940790804196	NA	NA	NA	1.11113754608392	NA	0.937062937062937	ammonium citrate (m)
0.995862586142249	0.297752808988764	0.213709677419355	0.248826291079812	0.767102590226975	0.276325104207599	4.56681256036222e-28	0.593608981814516	NA	NA	NA	0.456819534152645	3.14622251032669e-29	0.497482302096774	NA	NA	NA	0.344019116346412	5.41403024161835e-29	0.552912291733871	NA	NA	NA	2.31422384709677	NA	0.971774193548387	ammonium formate (m)
0.997284787049727	0.663636363636364	0.296747967479675	0.410112359550562	0.804317112610528	0.347385392573943	7.4143910882092e-33	0.521511206300813	NA	NA	NA	0.466209297866842	6.32362264638461e-34	0.435079846463415	NA	NA	NA	0.4204531121327	1.59058558191883e-33	0.47500138504065	NA	NA	NA	2.65773522829268	NA	0.963414634146341	ammonium nitrate (m)
0.984109744902577	0.228704784130688	0.256544502617801	0.24182603331277	0.782037288393078	0.269403735108028	1.01360751950047e-63	0.474234307670157	NA	NA	NA	0.354875626066374	2.13948268761768e-63	0.428192259188482	NA	NA	NA	0.302516036249987	9.75312904596336e-66	0.455270661125654	NA	NA	NA	2.00838752463351	NA	0.955497382198953	ammonium phosphate (m)
0.78628046809336	0.391128070593847	0.509474992233613	0.442525634106854	0.755255138183335	0.32021362965706	0	0.606774025438024	NA	NA	NA	0.351422176675114	0	0.581808243533706	NA	NA	NA	0.329475300092585	0	0.596954650495495	NA	NA	NA	2.97087324207207	NA	0.984001242621932	ammonium sulfate (m)
0.9964960823356	0.277310924369748	0.151376146788991	0.195845697329377	0.755816618917994	0.217727210579905	2.11658169876157e-16	0.228697099954128	NA	NA	NA	0.35432834034775	2.0057193161944e-17	0.197855021926606	NA	NA	NA	0.274588619182734	7.21664810184818e-17	0.213825288623853	NA	NA	NA	0.956488136009174	NA	0.917431192660551	ammonium tartrate (m)
