iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
43	0.986	3	-1.5142061119465493	-5.121298693580404	1.8670465150410502	4U7P_B	5.6	7.425	0.203	9.0	1.308	4.86	9.125	1
44	0.994	1	-1.514061437928872	-5.120030994231915	1.8667128129903459	2Z4H_B	4.0	5.5	0.093	4.2	3.163	4.106	8.438	0
45	1.0	0	-1.514061437928872	-5.120030994231915	1.8667128129903459	4MU6_A	8.5	6.8	0.311	6.8	0.311	4.693	8.908	1
46	0.959	119	-1.51417175980691	-5.1209833083475536	1.864901330137337	5FPN_B	8.0	7.289	0.322	7.49	0.932	4.495	8.967	1
47	0.911	26	-1.5144776004434366	-5.123764702136464	1.8619896708699797	6BMI_C	7.0	7.141	0.179	7.0	0.961	4.464	9.13	1
48	0.886	49	-1.5149356323328567	-5.127769058549564	1.8581660046071033	5WMV_B	10.0	7.858	0.078	10.0	1.249	5.963	10.036	1
49	0.709	3	-1.5160879288394427	-5.137864033690595	1.8502997660286977	4XJJ_A	5.0	5.2	0.056	5.0	3.189	3.94	7.878	1
50	1.0	0	-1.5160879288394427	-5.137864033690595	1.8502997660286977	5EOW_A	8.0	6.8	0.311	6.8	0.311	4.693	8.908	1
51	0.763	45	-1.5169717725917402	-5.145422579203755	1.843974972434476	5SX8_B	7.0	6.976	2.4	7.0	2.545	5.833	8.448	1
52	0.931	102	-1.5170324054327424	-5.145956285045042	1.8424970743914528	2D4D_A	5.6	6.544	0.528	5.53	0.876	4.521	9.328	1
53	0.977	64	-1.51697249722617	-5.1456536989071004	1.8417620027504205	4GWA_B	5.5	6.473	0.319	6.05	0.422	4.435	9.16	1
54	0.978	1	-1.5169275876190214	-5.145455146852086	1.8409420995707455	3PAJ_B	8.3	7.15	0.428	7.44	0.465	5.153	8.658	1
55	0.965	65	-1.5168663941722165	-5.144702662341863	1.8401403749254326	2AMA_A	7.3	7.12	0.47	7.5	1.788	5.686	8.455	1
56	1.0	4	-1.516866299623134	-5.144702360264615	1.8390230294793213	5K93_B	3.6	6.84	0.088	5.2	2.436	5.103	9.385	0
57	0.966	34	-1.5169845761624512	-5.145812939884511	1.8372367991294043	4XTD_B	4.2	6.966	0.186	7.5	0.379	4.237	9.381	0
58	0.636	129	-1.5183878575147616	-5.15785348553912	1.8278075229649806	2TYS_B	7.8	7.743	2.731	7.8	3.965	6.873	8.321	1
59	0.694	3	-1.5195734949572766	-5.16828914340789	1.8196744120858537	6KMM_F	7.0	7.325	0.072	7.0	3.381	5.713	8.578	1
60	1.0	0	-1.5195734949572766	-5.16828914340789	1.8196744120858537	4P5I_A	7.0	6.8	0.311	6.8	0.311	4.693	8.908	1
61	0.533	12	-1.5215077949763878	-5.184892739858193	1.8070310470346285	4ETJ_A	7.5	7.238	0.025	7.5	5.069	4.809	7.618	1
62	0.732	6	-1.5225577424064385	-5.194046140250896	1.7996193603622188	2OB1_C	5.6	6.029	0.08	5.6	2.976	4.523	8.538	1
63	0.98	27	-1.5225946505972119	-5.194143527941153	1.7982387818252432	3G1N_B	7.5	6.961	0.388	7.0	0.429	3.953	9.987	1
64	0.973	210	-1.52260578610564	-5.194328395243375	1.7971554712618563	7RCT_B	8.5	7.426	0.44	8.0	0.619	5.692	8.947	1
65	0.953	437	-1.522674978294524	-5.194750075346545	1.795682949773285	7MYY_B	5.5	5.731	0.391	5.49	0.464	4.325	7.483	1
66	0.904	40	-1.5230379044338629	-5.1975322746048835	1.7922599658170788	4BAU_A	8.5	8.215	0.225	8.5	1.044	5.671	10.608	1
67	0.995	491	-1.5230305941319169	-5.1975118521058485	1.791285529490976	3C9W_B	8.5	6.776	0.295	6.5	0.886	5.319	8.49	0
68	0.465	8	-1.5251754567686588	-5.2162933030284915	1.7772146616990365	1SK0_A	4.8	5.022	0.02	4.8	5.925	4.693	6.958	1
69	0.684	1	-1.526403210344785	-5.227112003816319	1.768682093840493	6ZB9_B	8.5	7.65	0.125	8.5	3.528	5.153	8.608	1
70	0.961	21	-1.5264769297855798	-5.227910153606082	1.7672706599862906	4DSH_B	7.5	5.786	0.049	4.5	0.626	3.97	8.585	1
71	0.954	256	-1.5263318460579496	-5.2267404231939345	1.76719957279455	1A3V_A	8.15	7.453	0.589	8.0	1.405	5.933	9.032	1
72	0.975	67	-1.5263867602549572	-5.227095934510501	1.7658743656896811	6DUJ_C	5.5	6.824	0.222	7.0	0.614	4.891	8.57	1
