iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
42	0.958	1	-3.000082823912392	-1.003045729420419	5.088557294769904	4LL6_A	7.0	7.65	0.187	6.9	0.212	4.159	12.0	1
43	0.984	643	-3.000083677703339	-1.0030666936111758	5.0123517853850545	2QO7_A	7.5	7.014	0.079	7.01	0.079	-0.01	12.0	1
44	0.982	47	-3.0000852898427923	-1.003113312731739	4.93766853927601	4NT4_A	7.0	6.742	0.089	6.8	0.089	-0.01	12.0	1
45	0.975	113	-3.0000913360364065	-1.0033389841815916	4.864445465049961	6WUW_B	7.4	6.95	0.123	7.04	0.123	1.34	12.0	1
46	0.97	5	-3.000098380212218	-1.003611220594695	4.792681196722049	2Z3K_B	8.0	7.9	0.151	7.2	0.159	3.61	12.0	1
47	0.975	14	-3.0001029521408653	-1.0037790467040972	4.722364709218293	4BDV_B	7.5	7.427	0.124	7.02	0.125	1.46	12.0	1
48	0.98	18	-3.000104914723611	-1.0038412290963195	4.653476124933283	3NRQ_B	6.5	7.768	0.098	7.03	0.102	0.59	12.0	1
49	0.984	38	-3.0001049263589707	-1.0038310073417964	4.585968007176307	2Z1A_A	7.8	6.682	0.083	6.76	0.083	-0.01	12.0	1
50	0.962	2	-3.0001093538423285	-1.004001773663923	4.51980574951158	4PHO_C	6.5	7.3	0.189	6.91	0.194	3.398	11.66	1
51	0.976	501	-3.0001147506435935	-1.0041976526744727	4.454926247394435	6Y7Z_A	6.0	6.748	0.122	6.68	0.123	1.15	12.0	1
52	0.975	429	-3.0001205308148164	-1.0044127433892265	4.3913545599756	7A7Y_A	6.5	6.972	0.127	7.04	0.127	1.76	12.0	1
53	0.964	2	-3.0001260342393343	-1.0046254636449685	4.329065488976518	4A7K_A	6.0	6.933	0.206	6.84	0.206	3.242	10.728	1
54	1.0	0	-3.0001260342393343	-1.0046254636449685	4.329065488976518	6KFA_A	5.0	6.8	0.311	6.8	0.311	4.693	8.908	1
55	0.969	44	-3.0001354179855677	-1.0049859852230352	4.267957851522833	4JLJ_B	7.5	7.329	0.153	7.28	0.153	2.943	11.69	1
56	1.0	0	-3.0001354179855677	-1.0049859852230352	4.267957851522833	5V90_D	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
57	0.978	6	-3.000137942545297	-1.0050833587739019	4.208181052376324	5TU7_B	5.0	6.914	0.158	6.86	0.158	2.251	11.56	1
58	0.978	45	-3.0001408076100327	-1.0051867638094303	4.149531515857715	3IWE_B	5.7	5.393	0.111	5.35	0.111	-0.01	12.0	1
59	0.953	1	-3.0001465172768884	-1.0054064995615395	4.092069907571728	1XO5_B	6.8	6.9	0.236	6.82	0.236	3.72	10.21	1
60	0.974	191	-3.0001531831259665	-1.0056552448012348	4.035716570256048	2PDL_A	5.0	5.943	0.128	5.45	0.13	0.82	11.78	1
61	0.974	23	-3.000158030558144	-1.0058313614834031	3.9805179785263314	6TWP_AAA	6.5	6.075	0.131	6.29	0.132	0.83	11.36	1
62	0.965	4	-3.0001660126414995	-1.0061286395033748	3.926382925153444	7QU1_C	6.0	6.04	0.176	6.47	0.18	1.899	9.875	1
63	0.977	25	-3.000168917930497	-1.0062383750496855	3.8734251230019283	5O7L_B	4.6	6.331	0.151	6.57	0.151	1.68	10.73	1
64	0.969	38	-3.000179367038018	-1.006637411885133	3.8213795643591455	4ZDY_A	9.4	8.956	0.153	9.23	0.154	4.253	12.0	1
65	0.955	1	-3.0001862839136004	-1.0069045035901532	3.770452602092844	6L8K_A	7.5	7.15	0.238	6.91	0.241	4.269	10.411	1
66	0.964	5	-3.000197355942233	-1.0073245466961338	3.72046015566879	5VAT_B	8.0	7.8	0.183	7.38	0.187	4.321	11.559	1
67	0.968	8	-3.0002042579698003	-1.0075682541120365	3.671491037911957	2Z3H_D	7.0	7.244	0.16	6.97	0.161	2.717	12.0	1
68	0.967	25	-3.000213594769982	-1.0079118363191635	3.6234757862803386	6BA4_A	7.0	6.573	0.164	6.66	0.164	2.27	10.78	1
69	0.964	15	-3.000224274192813	-1.0083223678547653	3.57642877703788	2F27_B	7.0	7.1	0.178	7.05	0.178	3.329	10.873	1
70	0.979	9	-3.00022148641804	-1.008215118051951	3.5305754607885453	3FN8_B	8.0	5.63	0.19	5.86	0.191	2.126	8.964	1
71	0.972	3	-3.000223940415597	-1.0082841176578263	3.4854717697278117	1JI5_D	5.6	6.7	0.173	6.8	0.173	1.859	11.36	1
72	1.0	0	-3.000223940415597	-1.0082841176578263	3.4854717697278117	1QZV_U	6.6	6.8	0.311	6.8	0.311	4.693	8.908	1
