binary_accuracy	precision	recall	f1	auc	mean cor 1	mean cor 2	mode cor 1	mode cor 2	median cor 1	median cor 2	mean CI width 1	mean CI width 2	mean capture proportion	condition
0.969130373102568	0.969130373102568	0.969130373102568	0.969130373102568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	method
NA	NA	NA	NA	NA	0.565255878336375	NA	0.553030412251317	NA	0.559571515541488	NA	3.37883948818322	NA	0.949722767859572	p_h
NA	NA	NA	NA	NA	0.618635452324438	NA	0.621479815943339	NA	0.60422048905958	NA	17.0194712767513	NA	0.963469779647368	temp
0.98787363244626	0.46796875	0.320149652592197	0.380196762932402	0.960279157006084	0.726455539134047	NA	0.709742392493239	NA	0.718861990357075	NA	0.0412156944521646	NA	0.995189738107964	2-mercaptoethanol (m)
0.994660176090007	0.601895734597156	0.385237613751264	0.469790382244143	0.930323556939721	0.564458953183316	NA	0.569279224426685	NA	0.573243914847612	NA	0.0985690148634985	NA	0.987866531850354	acetate (m)
0.995274759391493	0.33034379671151	0.413857677902622	0.367414796342477	0.937234079737037	0.468287283435518	NA	0.191065485817508	NA	0.259085714066174	NA	0.056067135411985	NA	0.98876404494382	adenosine triphosphate (m)
0.997336313681662	0.606356968215159	0.48062015503876	0.536216216216216	0.953012787928421	0.773222659386371	NA	0.784108244570415	NA	0.776831007704454	NA	0.0112290439922481	NA	0.988372093023256	adp (m)
0.962883574708145	0.503536544291007	0.497007978723404	0.500250962021081	0.913370912923569	0.691558536618557	NA	0.627703483652965	NA	0.668186317216946	NA	0.464153138565492	NA	0.994182180851064	ammonium acetate (m)
0.990456676290708	0.469339622641509	0.409184372858122	0.437202489930428	0.930157678295339	0.846510613277939	NA	0.865663768800924	NA	0.842715790121571	NA	1.21681294845785	NA	0.987662782727896	ammonium chloride (m)
0.99227593058272	0.485188968335036	0.390946502057613	0.432999088422972	0.912364954975555	0.731274505485485	NA	0.744715002273645	NA	0.732332558283195	NA	1.09881656297942	NA	0.97037037037037	ammonium citrate (m)
0.996535345068455	0.447852760736196	0.431952662721893	0.439759036144578	0.908385967410734	0.826390109164385	NA	0.836274459915177	NA	0.830857134809275	NA	2.09512988751479	NA	0.976331360946746	ammonium formate (m)
0.997342489739403	0.594315245478036	0.459081836327345	0.518018018018018	0.937898226915546	0.842514062536221	NA	0.86175386272238	NA	0.842164435460692	NA	2.33489594802395	NA	0.988023952095808	ammonium nitrate (m)
0.987227965601813	0.399336807200379	0.516544117647059	0.450440822869356	0.925164559050763	0.780197537316353	NA	0.780914759556555	NA	0.780128015511152	NA	1.91715692126838	NA	0.969975490196078	ammonium phosphate (m)
0.851034234368499	0.505331478905888	0.583415678524374	0.541573506086491	0.856553204015015	0.706873699414195	NA	0.687488557129969	NA	0.705889201264779	NA	2.85458432716527	NA	0.99118906455863	ammonium sulfate (m)
0.99660979062663	0.385714285714286	0.435483870967742	0.409090909090909	0.906155963374869	0.672375128769884	NA	0.697839367459131	NA	0.684978661786692	NA	0.79121819624424	NA	0.949308755760369	ammonium tartrate (m)
0.997677811927602	0.484848484848485	0.394520547945205	0.435045317220544	0.949804993363381	0.691452061681309	NA	0.711643201593434	NA	0.703676932451923	NA	0.0860495942739726	NA	0.983561643835616	azodicarbonamide (m)
0.99791996522927	0.407725321888412	0.325342465753425	0.361904761904762	0.940946050593136	0.858619250540924	NA	0.862437747073889	NA	0.860551048686041	NA	0.136371000993151	NA	0.993150684931507	barium chloride (m)
0.988264076898239	0.388294524858401	0.401954397394137	0.395006402048656	0.912516461601632	0.736004694640893	NA	0.729434808933508	NA	0.74131773642802	NA	0.0807691743387622	NA	0.990228013029316	bicine (m)
0.940496370669796	0.51626058768169	0.498989286436224	0.507478028473043	0.892790129572802	0.578471540834826	NA	0.588496212911676	NA	0.553682463774278	NA	0.176063209927229	NA	0.994238932686477	bis tris (m)
0.999782682934401	0.722222222222222	0.509803921568627	0.597701149425287	0.970881858494807	0.948249779806088	NA	0.953668142498934	NA	0.951867331680465	NA	0.031571982745098	NA	0.980392156862745	bis tris methane (m)
0.976093638424043	0.502600183542368	0.424877165761572	0.460482062780269	0.918085791549014	0.551633879572286	NA	0.375377693571444	NA	0.401877306222182	NA	0.15664332936902	NA	0.992759244892682	bis tris propane (m)
0.991965477631865	0.492971887550201	0.38359375	0.431458699472759	0.925787711723514	0.761088116804062	NA	0.770126489970368	NA	0.77437124759743	NA	0.0611940621171875	NA	0.959375	cacodylate (m)
0.99538666915029	0.408408408408408	0.438003220611916	0.422688422688423	0.929484700688192	0.731685002043162	NA	0.665738417017593	NA	0.730306326839613	NA	0.141474308309179	NA	0.987117552334944	cadmium chloride (m)
0.980323003272255	0.528323262839879	0.421512503766195	0.468912351265292	0.924035307863166	0.781595294974867	NA	0.787461015438716	NA	0.790729008772762	NA	0.233277092904489	NA	0.976197649894547	calcium acetate (m)
0.957066833911861	0.493390882114918	0.536678403755869	0.514125087842586	0.9198509614177	0.692427066938811	NA	0.685295236087433	NA	0.678238712827228	NA	0.315074377332746	NA	0.992664319248826	calcium chloride (m)
0.996125499059316	0.385496183206107	0.400793650793651	0.392996108949416	0.892189814571766	0.803662718296102	NA	0.809294556500797	NA	0.812161484040094	NA	0.0570220163888889	NA	0.966269841269841	caps (m)
0.997901338052218	0.355300859598854	0.523206751054852	0.42320819112628	0.926365735241865	0.960955808883263	NA	0.962063702975338	NA	0.962291017365546	NA	1.33587381421941	NA	1	cesium chloride (m)
