binary_accuracy	precision	recall	f1	auc	mean cor 1	mean cor 2	mode cor 1	mode cor 2	median cor 1	median cor 2	mean CI width 1	mean CI width 2	mean capture proportion	condition
0.960783089799972	0.960783089799972	0.960783089799972	0.960783089799972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	method
NA	NA	NA	NA	NA	0.565255878336375	NA	0.521839106045375	NA	0.561159485217272	NA	5.02285017636377	NA	0.984046228935527	p_h
NA	NA	NA	NA	NA	0.618635452324438	NA	0.544824943191616	NA	0.61290014860474	NA	26.3585990232906	NA	0.97843213443031	temp
0.987768077787574	0.46189376443418	0.320684126135756	0.378548895899054	0.960270823431949	0.726455539134047	NA	0.68853223559376	NA	0.718396015193643	NA	0.04163954212186	NA	0.995189738107964	2-mercaptoethanol (m)
0.994616712407019	0.595911949685535	0.383215369059656	0.466461538461538	0.929831984649057	0.564458953183316	NA	0.531236797807749	NA	0.56344186002377	NA	0.12519765289181	NA	0.987866531850354	acetate (m)
0.995268550139708	0.329850746268657	0.413857677902622	0.367109634551495	0.937205566822276	0.468287283435518	NA	0.0353291001184722	NA	0.262537043163231	NA	0.060359150505618	NA	0.98876404494382	adenosine triphosphate (m)
0.997174878147217	0.567627494456763	0.496124031007752	0.52947259565667	0.9529936662979	0.773222659386371	NA	0.581596128268767	NA	0.770089792810386	NA	0.0123845590891473	NA	0.988372093023256	adp (m)
0.962852509738868	0.503110812174206	0.497340425531915	0.500208977681184	0.913307801200155	0.691558536618557	NA	0.486242810499806	NA	0.667473173107055	NA	0.472121221732048	NA	0.994182180851064	ammonium acetate (m)
0.990953401012077	0.50089928057554	0.381768334475668	0.433294437961883	0.930178369677472	0.846510613277939	NA	0.704227160376297	NA	0.841501632923618	NA	1.23223435917066	NA	0.987662782727896	ammonium chloride (m)
0.992257303405669	0.483706720977597	0.390946502057613	0.432407828857533	0.912342648718678	0.731274505485485	NA	0.660659482613265	NA	0.730576225259846	NA	1.12475813674897	NA	0.97037037037037	ammonium citrate (m)
0.996535345068455	0.447852760736196	0.431952662721893	0.439759036144578	0.908256160520042	0.826390109164385	NA	0.772580506786729	NA	0.823735153231438	NA	2.30095943599606	NA	0.976331360946746	ammonium formate (m)
0.997392162828386	0.610958904109589	0.445109780439122	0.515011547344111	0.937891985971751	0.842514062536221	NA	0.724794471099701	NA	0.834931171056426	NA	2.58884264780439	NA	0.988023952095808	ammonium nitrate (m)
0.987141038775574	0.396899953029591	0.517769607843137	0.449348577505982	0.925134940904535	0.780197537316353	NA	0.741038728488006	NA	0.778300884079415	NA	1.95607821715074	NA	0.969975490196078	ammonium phosphate (m)
0.851077702639766	0.505455323397276	0.583662714097497	0.541751060496045	0.856512298177717	0.706873699414195	NA	0.681425076634858	NA	0.704555496250736	NA	2.88880033198493	NA	0.991353754940711	ammonium sulfate (m)
0.99660979062663	0.385714285714286	0.435483870967742	0.409090909090909	0.906148482190306	0.672375128769884	NA	0.606009926798371	NA	0.676086475107071	NA	0.867459677235023	NA	0.949308755760369	ammonium tartrate (m)
0.99637390953401	0.330232558139535	0.583561643835616	0.421782178217822	0.949210280664636	0.691452061681309	NA	0.686843312760229	NA	0.692945731411529	NA	0.102355015342466	NA	0.986301369863014	azodicarbonamide (m)
0.997926174288287	0.40948275862069	0.325342465753425	0.362595419847328	0.940930308028514	0.858619250540924	NA	0.839714566645044	NA	0.855817088364643	NA	0.154345456472603	NA	0.993150684931507	barium chloride (m)
0.988226819999503	0.386406544996853	0.4	0.393085787451985	0.912487341294066	0.736004694640893	NA	0.518374028169973	NA	0.72858616406809	NA	0.102890987400651	NA	0.992182410423453	bicine (m)
0.941042788219734	0.52128	0.493935718617344	0.507239607659972	0.892772575232431	0.578471540834826	NA	0.396942914404937	NA	0.554316541613505	NA	0.18441730138872	NA	0.994643218111987	bis tris (m)
0.999714383285213	0.647058823529412	0.215686274509804	0.323529411764706	0.970363785871109	0.948249779806088	NA	0.947852803795203	NA	0.94811188842768	NA	0.0407419833333333	NA	0.980392156862745	bis tris methane (m)
0.976068800645782	0.501985945615643	0.424877165761572	0.460224089635854	0.918023099807126	0.551633879572286	NA	0.363004769855325	NA	0.40187659556197	NA	0.165335260007758	NA	0.993793638479441	bis tris propane (m)
0.991984104808916	0.494427558257345	0.38125	0.43052492280547	0.925761512771865	0.761088116804062	NA	0.696013224511558	NA	0.765586948055694	NA	0.083904375578125	NA	0.96015625	cacodylate (m)
0.995454968799478	0.414219474497682	0.431561996779388	0.422712933753943	0.929417446520918	0.731685002043162	NA	0.589477474464364	NA	0.727152408262165	NA	0.150691315442834	NA	0.987117552334944	cadmium chloride (m)
0.980316794059025	0.528187665531593	0.420608617053329	0.46829922844683	0.923999291531732	0.781595294974867	NA	0.77397068462443	NA	0.787742493984177	NA	0.250260302702621	NA	0.976498945465502	calcium acetate (m)
0.957066833911861	0.493390882114918	0.536678403755869	0.514125087842586	0.919813987398748	0.692427066938811	NA	0.669344634853681	NA	0.677532276957188	NA	0.318829923419894	NA	0.992664319248826	calcium chloride (m)
0.996224845237282	0.395161290322581	0.388888888888889	0.392	0.892147406760157	0.803662718296102	NA	0.781802046707475	NA	0.808122824480477	NA	0.0727444724801587	NA	0.968253968253968	caps (m)
0.997901338052218	0.355300859598854	0.523206751054852	0.42320819112628	0.926357365584479	0.960955808883263	NA	0.962019104111415	NA	0.962054656896088	NA	1.58948960396624	NA	1	cesium chloride (m)
