iteration	loss	n_i	w_0	w_1	ID	y	yhat
101	-0.02679553056235585	1844	-1.0422384760192767	2.990420482555001	6MEK_L	0.0	0.026439715501575044
102	-0.029481940049237265	0	-1.0422384760192767	2.990420482555001	1MPG_B	0.0	0.029051587236620224
103	-0.001615280932817002	17	-1.0422384760192767	2.990420482555001	6LUT_B	0.0	0.0016139770687011235
104	-0.0019386504514566697	14	-1.0422384760192767	2.990420482555001	5XG7_A	0.0	0.0019367724824413482
105	-0.0018173746275922317	15	-1.0422384760192767	2.990420482555001	2F1H_A	0.0	0.001815724202288764
106	-0.00020460957362259907	141	-1.0422384760192767	2.990420482555001	1AXR_A	0.0	0.00020458864251141003
107	-0.0026445471194204897	10	-1.0422384760192767	2.990420482555001	2IH8_B	0.0	0.002641053385147293
108	-0.15895974930858484	6	-1.0422339100931652	2.9904232960022665	5XPI_A	0.0	0.14696930664665867
109	-0.02353256933277022	824	-1.042238170575485	2.990430082597891	6VCA_P	0.0	0.023257837689721984
110	-0.0024239008787018926	11	-1.042238170575485	2.990430082597891	7RBQ_A	0.0	0.002420965603051685
111	-0.03614214900758569	125	-1.041937900664008	2.9904725878435703	1F9B_A	0.0	0.035496819431809545
112	-0.0020772694049906695	13	-1.041937900664008	2.9904725878435703	4HC3_A	0.0	0.0020751133740443016
113	-0.009731055931999707	2	-1.041937900664008	2.9904725878435703	3DJN_B	0.0	0.00968386241220674
114	-0.0014536353779875724	19	-1.041937900664008	2.9904725878435703	5AHF_A	0.0	0.0014525793618310112
115	-0.014632325860560347	1	-1.041937900664008	2.9904725878435703	3G04_C	0.0	0.014525793618310112
116	-0.0006183099916065024	46	-1.041937900664008	2.9904725878435703	6JEN_C	0.0	0.0006181188773748984
117	-0.009731055931999707	2	-1.041937900664008	2.9904725878435703	4ML1_D	0.0	0.00968386241220674
118	-0.0024239008787018926	11	-1.041937900664008	2.9904725878435703	3AWH_B	0.0	0.002420965603051685
119	-0.00485369133150788	5	-1.041937900664008	2.9904725878435703	1ZSV_D	0.0	0.00484193120610337
120	-0.0032331752199965336	8	-1.041937900664008	2.9904725878435703	2O4G_D	0.0	0.003227954137402247
121	-0.008864315547091217	115	-1.0419326315719513	2.9904767797354497	7E46_B	0.0	0.00882514333243855
122	-0.004158862841899563	6	-1.0419326315719513	2.9904767797354497	2Q6I_A	0.0	0.004150226748088603
123	-0.005827263013035162	4	-1.0419326315719513	2.9904767797354497	4R72_A	0.0	0.005810317447324045
124	-0.014602093642747714	143	-1.0419565360954302	2.9904787661562255	6LRV_B	0.0	0.014496000097094213
125	-0.19841279764306147	4	-1.0389693149964567	2.9914597210414358	4QDA_F	0.0	0.17996872371731124
126	-0.014632325860560347	1	-1.0389693149964567	2.9914597210414358	2BM3_A	0.0	0.014525793618310112
127	-0.007289400049020426	3	-1.0389693149964567	2.9914597210414358	1RI7_A	0.0	0.007262896809155056
128	-0.029481940049237265	0	-1.0389693149964567	2.9914597210414358	4Q9C_A	0.0	0.029051587236620224
129	-0.5237911036504156	4	-1.0393221812374218	2.9912467367987037	5YDO_A	0.0	0.4077290740798952
130	-0.007289400049020426	3	-1.0393221812374218	2.9912467367987037	4Q79_I	0.0	0.007262896809155056
131	-0.2028713975856222	119	-1.0393264305510383	2.9912444901957076	3OVN_B	0.0	0.1836167764714074
132	-0.00010052957623863321	288	-1.0393264305510383	2.9912444901957076	2ACK_A	0.0	0.00010052452331010459
133	-0.002909386888245293	9	-1.0393264305510383	2.9912444901957076	3MD0_A	0.0	0.0029051587236620224
134	-0.0032331752199965336	8	-1.0393264305510383	2.9912444901957076	1ZCW_A	0.0	0.003227954137402247
135	-0.0018173746275922317	15	-1.0393264305510383	2.9912444901957076	5TW0_B	0.0	0.001815724202288764
136	-0.050129238701947014	45	-1.0396568396845427	2.991174555781847	4QB8_A	0.0	0.04889350321168219
137	-0.007289400049020426	3	-1.0396568396845427	2.991174555781847	6B1V_C	0.0	0.007262896809155056
138	-0.005827263013035162	4	-1.0396568396845427	2.991174555781847	1HB8_C	0.0	0.005810317447324045
139	-0.00485369133150788	5	-1.0396568396845427	2.991174555781847	4OK2_B	0.0	0.00484193120610337
140	-0.013960599443032507	70	-1.0396091370557472	2.9911855145893216	6C07_D	0.0	0.013863602179248988
141	-0.029481940049237265	0	-1.0396091370557472	2.9911855145893216	6YFD_DL	0.0	0.029051587236620224
142	-0.012732823735062975	334	-1.0396416155475592	2.991187181946306	3UQV_A	0.0	0.012652104293610595
143	-0.0032331752199965336	8	-1.0396416155475592	2.991187181946306	4YFV_B	0.0	0.003227954137402247
144	-0.029481940049237265	0	-1.0396416155475592	2.991187181946306	5TS4_D	0.0	0.029051587236620224
145	-0.08643309727550315	75	-1.0375526895092664	2.991154898818406	1YA3_C	0.0	0.08280309029576426
146	-0.007289400049020426	3	-1.0375526895092664	2.991154898818406	1JXO_B	0.0	0.007262896809155056
147	-0.0026445471194204897	10	-1.0375526895092664	2.991154898818406	4PD7_A	0.0	0.002641053385147293
148	-0.06273399160012053	16	-1.0375783599026704	2.9911414492871504	6P56_B	0.0	0.06080672623686745
149	-0.08971769830473632	11	-1.03758418746966	2.9911379881862086	5YPH_B	0.0	0.08581077398485937
