iteration	loss	n_p	w_0	w_1	ID	y	yhat
77	-1.3192581840674253	1	-1.044411949898467	2.9868943754800665	2Y8F_D	1.0	0.26733354070823984
78	-0.765019767166473	0	-1.044411949898467	2.9868943754800665	2FTX_B	0.0	0.5346752672680538
79	-0.14348801490912014	3	-1.044411949898467	2.9868943754800665	1GCU_A	0.0	0.13366881681701345
80	-0.3118728485361645	24	-1.0443130466134118	2.9865629501415913	7JJ0_D	0.0	0.267925393331468
81	-0.2867337562059824	11	-1.0474154367430335	2.9863936096345567	5VYJ_D	1.0	0.7507115745298655
82	-0.31107030208610736	1	-1.0474154367430335	2.9863936096345567	3TVI_L	0.0	0.2673376336340269
83	-0.16854998907914018	2	-1.0474154367430335	2.9863936096345567	7DWO_B	1.0	0.8448890271388265
84	-0.5672073179724476	7	-1.0474634823746243	2.9863642517685793	2ZHX_N	1.0	0.5671069787697032
85	-0.14348801490912014	3	-1.0474634823746243	2.9863642517685793	4U9G_B	0.0	0.13366881681701345
86	-0.004397481847245509	256	-1.0475442589860149	2.9863552310369403	4QB4_A	0.0	0.004387827081351044
87	-0.30795674528210176	12	-1.055384194767215	2.9850286209940036	6RX8_A	0.0	0.26505289274865934
88	-1.086730856747766	33	-1.0426581671465536	2.988511989168316	3KJF_B	0.0	0.6626825678293048
89	-0.7115343693573939	71	-1.0445539566324857	2.9878405082428183	5SD5_A	0.0	0.5091095878899016
90	-0.8153119616242965	273	-1.0443519337296645	2.9879141269009373	3PLB_A	1.0	0.4425012624144122
91	-0.39853602242072445	38	-1.0458737346518538	2.9876744484804694	6C8B_B	1.0	0.6713020982297744
92	-1.0136685070163964	6	-1.0460948416976654	2.987540885949673	5WSF_D	1.0	0.36288528751452387
93	-1.0660123083931439	6	-1.0439536452934244	2.9886014938885475	4NTN_F	0.0	0.6556209395600126
94	-0.8577232719577846	12	-1.043979314248082	2.98907694155283	5EB4_B	0.0	0.5758733951419114
95	-0.34021933274082267	48	-1.0385914833708643	2.989617193271239	7LLJ_L	0.0	0.2883857746538551
96	-0.6426549541207801	143	-1.0406899138270238	2.9894176675167423	3W4O_A	1.0	0.5258943435899396
97	-0.2370978319474507	10	-1.0427093429564502	2.9891503828571175	3KB1_B	0.0	0.21108589676098852
98	-0.62611100350748	0	-1.0427093429564502	2.9891503828571175	3ZR8_X	1.0	0.5346670814164797
99	-0.9840561054823738	17	-1.0464531737499376	2.9880929358970048	1EGA_B	0.0	0.6262081194166278
100	-1.8636322023973537	2	-1.0464531709794107	2.9880929386628554	5LQI_B	0.0	0.8448917784891103
101	-0.765019767166473	0	-1.0464531709794107	2.9880929386628554	5ODT_B	0.0	0.5346752672680538
102	-0.31107030208610736	1	-1.0464531709794107	2.9880929386628554	2B7N_C	0.0	0.2673376336340269
